الشهر|رقم_الدعوي|الموضوع|تصنيفات_الأحكام|منطوق_الحكم|العضو
نوفمبر 2024|11891 لسنة 52 ق|إعادة حساب الحوافز والبدلات|أحكام بالأحقية / الإلــــغا|بقبول الدعوي شكلًا ، وبالأحقـــية.| مصطفى أحمد عبد الفتاح يوسف على
نوفمبر 2024|11912 لسنة 52 ق|إعادة حساب الحوافز والبدلات|أحكام بالأحقية / الإلــــغا|بقبول الدعوي شكلًا ، وبالأحقـــية.| مصطفى أحمد عبد الفتاح يوسف على
نوفمبر 2024|11994 لسنة 52 ق|إعادة حساب الحوافز والبدلات|أحكام بالأحقية / الإلــــغا|بقبول الدعوي شكلًا ، وبالأحقـــية.| مصطفى أحمد عبد الفتاح يوسف على
نوفمبر 2024|11995 لسنة 52 ق|إعادة حساب الحوافز والبدلات|أحكام بالأحقية / الإلــــغا|بقبول الدعوي شكلًا ، وبالأحقـــية.| مصطفى أحمد عبد الفتاح يوسف على
نوفمبر 2024|11996 لسنة 52 ق|إعادة حساب الحوافز والبدلات|ررأحكام بالأحقية / الإلــــغا|بقبول الدعوي شكلًا ، وبالأحقـــية.| مصطفى أحمد عبد الفتاح يوسف على
نوفمبر 2024|12021 لسنة 52 ق|إعادة حساب الحوافز والبدلات|أحكام بالأحقية / الإلــــغا|بقبول الدعوي شكلًا ، وبالأحقـــية.| مصطفى أحمد عبد الفتاح يوسف على
نوفمبر 2024|12024 لسنة 52 ق|إعادة حساب الحوافز والبدلات|أحكام بالأحقية / الإلــــغا|بقبول الدعوي شكلًا ، وبالأحقـــية.| مصطفى أحمد عبد الفتاح يوسف على
نوفمبر 2024|12043 لسنة 52 ق|إعادة حساب الحوافز والبدلات|أحكام بالأحقية / الإلــــغا|بقبول الدعوي شكلًا ، وبالأحقـــية.| مصطفى أحمد عبد الفتاح يوسف على
نوفمبر 2024|12044 لسنة 52 ق|إعادة حساب الحوافز والبدلات|أحكام بالأحقية / الإلــــغا|بقبول الدعوي شكلًا ، وبالأحقـــية.| مصطفى أحمد عبد الفتاح يوسف على
نوفمبر 2024|12082 لسنة 52 ق|إعادة حساب الحوافز والبدلات|أحكام بالأحقية / الإلــــغا|بقبول الدعوي شكلًا ، وبالأحقـــية.| مصطفى أحمد عبد الفتاح يوسف على
مايو 2025|2809 لسنة 53 ق|إعادة حساب الحوافز والبدلات|أحكام بالأحقية / الإلــــغاء  / |بقبول الدعوي شكلًا ، وبالأحقـــية.| مصطفى أحمد عبد الفتاح يوسف على
مايو 2025|2350 لسنة 53 ق|إعادة حساب الحوافز والبدلات|أحكام بالأحقية / الإلــــغا|بقبول الدعوي شكلًا ، وبالأحقـــية.| مصطفى أحمد عبد الفتاح يوسف على
مايو 2025|2357 لسنة 53 ق|إعادة حساب الحوافز والبدلات|أحكام بالأحقية / الإلــــغا|بقبول الدعوي شكلًا ، وبالأحقـــية.| مصطفى أحمد عبد الفتاح يوسف على
